City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
116,Comodoro Rivadavia,AR,55.4,overcast clouds,-45.8667,-67.5,Austral Hotel
117,Balikpapan,ID,74.64,light rain,-1.2675,116.8289,ibis Balikpapan
118,Cape Town,ZA,66.2,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
119,Salalah,OM,84.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
120,Rojhan,PK,86.7,overcast clouds,28.6868,69.9534,Nawab Imam Bux Khan Bangla
121,Nizhniy Baskunchak,RU,42.19,overcast clouds,48.2198,46.8311,Arman hotel
122,Camana,PE,73.8,broken clouds,-16.6228,-72.7111,Hostal Morales
123,Avarua,CK,77.0,moderate rain,-21.2078,-159.775,Paradise Inn
124,La Rioja,ES,69.8,clear sky,42.25,-2.5,Casa Concejos
125,Saravena,CO,82.36,overcast clouds,6.9538,-71.8752,Hotel Diamante Saravena
126,Bredasdorp,ZA,60.8,light rain,-34.5322,20.0403,Bredasdorp Country Manor
127,Fougeres,FR,51.01,broken clouds,48.35,-1.2,Best Western Hotel des Voyageurs
128,Thompson,CA,32.0,snow,55.7435,-97.8558,Burntwood Hotel
129,Pangai,TO,77.86,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
130,Tautira,PF,77.0,few clouds,-17.7333,-149.15,Pension Oaoa
132,Kalmunai,LK,80.35,clear sky,7.4167,81.8167,VS Villa
133,Chimoio,MZ,77.0,scattered clouds,-19.1164,33.4833,Predio Livraria Ahmed
134,Gizo,SB,82.9,broken clouds,-8.103,156.8419,Imagination Island
135,Kodiak,US,30.2,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
136,Kavaratti,IN,83.1,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
137,Ancud,CL,64.0,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
138,Nepa Nagar,IN,92.46,clear sky,21.4667,76.4,Rest House Hilltop
140,Shaunavon,CA,33.8,broken clouds,49.6501,-108.4181,Bear's Den Lodge
142,Teacapan,MX,79.18,clear sky,22.55,-105.75,Hotel los Mangos
143,Balkhash,KZ,40.66,overcast clouds,46.844,74.9804,Family
145,Hasaki,JP,48.2,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
146,Katsuura,JP,51.01,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
